,location,patron type,item type,loan rule number,active
107,RS*,"0-1,4,6-7,12,23-24,31",16,5,Y
108,RS*,"2-3,5,8-9,13,19,21,30,32",16,21,Y
109,RS*,"0-10,12-24,27,30-32",17,33,Y
110,RS*,"2-3,5,8-9,13,19,21,30,32",18,19,Y
111,RS*,"0-1,4,6-7,12,23-24,31",18,3,Y
112,RS*,"0-1,4,6-7,12,23-24,31",20,2,Y
113,RS*,"2-3,5,8-9,13,19,21,30,32",20,18,Y
114,RS*,"2-3,5,8-9,13,19,21,30,32",21,21,Y
115,RS*,"0-1,4,6-7,12,23-2,31",21,5,Y
116,RS*,"2-3,5,8-9,13,19,21,30,32","22,64",20,Y
117,RS*,"0-1,4,6-7,12,23-24,31","22,64",4,Y
118,RS*,"2-3,5,8-9,13,19,21,30,32",23,18,Y
119,RS*,"0-1,4,6-7,12,23-24,31",23,2,Y
120,RS*,"2-3,5,8-9,13,19,21,30,32",27,18,Y
121,RS*,"0-1,4,6-7,12,23-24,31",27,1,Y
122,RS*,"2-3,5,8-9,13,19,21,30,32",11,33,Y
123,RS*,"0-1,4,6-7,12,23-24,31",11,34,Y
124,RS*,"0-9,12,23-24,30-31,32",69,110,Y
125,rpsb,999,29,16,Y
126,rpsb,"0,2-8,10-22,27,30,32",29,91,Y
127,RSSC*,"0-3,8-9,12-13,21,30-31,32",9,96,Y
128,RSSC,"4-8,10,14-18,23-24,27",13,16,Y
129,RSSC,"0-3,9,12-13,19-21,30-31,32",13,84,Y
130,RSSCF,"2-3,9,13,21,30,32",61,84,Y
131,RW*,999,62,16,Y
132,RW*,"0-1,12,23-24,31",62,1,Y
133,RW*,"2-3,9,13,19,21,30,32",62,17,Y
134,RZ*,"1,31",999,69,Y
135,RZ*,"200-206,210-215,220-223",999,114,Y
136,RZ*,"5,7",999,32,Y
137,RZ*,"0,4,6,12",999,1,Y
138,RZ*,"2-3,9,13,19,21,30,32",999,17,Y
139,s,0-50,3,52,N
140,lc1,"14,17-18,20","40,41,42,49",37,Y
141,LC1,"13,21,22","40,41,42,49",36,Y
142,LC1,"2,9","40,49",38,Y
143,lc1,"0,1,8","40,49",40,Y
144,LC1,"16,27","40,41,49",58,Y
145,LC1,"3,5,8,23,24","40,49",40,Y
146,lc1,"12,19","40,49",40,Y
147,LC1,"0,12,19","44,49",42,Y
148,LC1,"0-3,5,8-9,12,15,19,23-24,3","46,47,49",43,Y
,,1,,,
149,LC1,"0-3,5,8-9,12,15,19,23-24,3","48,49",44,Y
,,1,,,
150,LC1,"0-3,5,8-9,12,15,19,23-24,3","42,49",45,Y
